name,age,city,state,phone,email
Lucy Nguyen,20,Wimcalzij,TN,(645) 258-8556,citsejof@lij.ck
Edna Schneider,27,Pualaza,OR,(312) 525-8605,osuwu@pov.gf
Harold Lawrence,18,Cimahnih,MO,(576) 780-6786,ceh@da.io
Effie Wallace,32,Keenuof,GA,(866) 609-3582,faive@aj.mg
Sue Powers,28,Valsewsep,AL,(881) 429-4562,isovuoba@nuvo.rw
Andrew Andrews,65,Kucemi,ND,(448) 652-4516,az@tujulova.ws
William George,19,Wihuduf,MO,(535) 588-7709,imejucugo@necgomu.be
Virginia Wagner,62,Robapa,AR,(864) 686-2427,goniw@jawipow.jm
Isabel Woods,62,Otiumamoz,NY,(209) 442-7468,ruwet@robuw.mm
Wesley Klein,47,Fekmawvog,OK,(647) 517-9708,moawze@ru.uk
Sylvia Roberts,24,Wutueh,AL,(858) 458-6084,wu@hewvoluko.ug
Matilda Boyd,29,Pavodij,TN,(537) 763-1571,mibasjan@izzagzi.ly
Daisy Jones,48,Fiptouze,MS,(921) 232-2504,mofwufod@votozeage.wf
Ella Sparks,28,Zumibeces,IA,(347) 680-8375,ebe@opuja.lb
Sara Armstrong,40,Sumirev,VA,(572) 502-8121,ijnebbo@pej.ky
Harry Joseph,52,Pimfehu,KS,(811) 281-5210,si@awben.bs
